time,temp,prcp,wspd,rhum,pres,temp_rolling_avg_7,prcp_rolling_avg_7,wspd_rolling_avg_7,rhum_rolling_avg_7,pres_rolling_avg_7
2021-05-20 04:00:00,18.6,0.0,6.5,34.0,1009.4,19.03392857142857,0.004166666666666667,10.661904761904761,42.42857142857143,1009.8422619047619
2021-05-20 05:00:00,21.0,0.0,9.0,29.0,1009.9,19.057738095238093,0.004166666666666667,10.702380952380953,42.38095238095238,1009.8422619047619
2021-05-20 06:00:00,23.4,0.0,14.0,25.0,1009.2,19.07916666666667,0.004166666666666667,10.764285714285714,42.32738095238095,1009.8386904761904
2021-05-20 07:00:00,25.4,0.0,15.1,24.0,1008.3,19.098809523809525,0.004166666666666667,10.808928571428572,42.291666666666664,1009.832738095238
2021-05-20 08:00:00,27.3,0.0,18.0,21.0,1007.8,19.11845238095238,0.004166666666666667,10.854166666666666,42.26190476190476,1009.8238095238095
2021-05-20 09:00:00,29.0,0.0,20.9,16.0,1006.8,19.139285714285712,0.004166666666666667,10.903571428571428,42.214285714285715,1009.8113095238094
2021-05-20 10:00:00,30.2,0.0,22.3,14.0,1005.9,19.160714285714285,0.004166666666666667,10.946428571428571,42.160714285714285,1009.7964285714285
2021-05-20 11:00:00,31.0,0.0,24.8,12.0,1005.1,19.180357142857144,0.004166666666666667,10.997619047619049,42.11309523809524,1009.7803571428572
2021-05-20 12:00:00,31.6,0.0,24.1,12.0,1004.4,19.200595238095236,0.004166666666666667,11.033928571428572,42.07738095238095,1009.7642857142857
2021-05-20 13:00:00,31.4,0.0,27.0,11.0,1004.1,19.219047619047622,0.004166666666666667,11.095833333333333,42.029761904761905,1009.7482142857142
2021-05-20 14:00:00,31.1,0.0,25.2,11.0,1003.8,19.235119047619047,0.004166666666666667,11.14702380952381,41.98809523809524,1009.7357142857143
2021-05-20 15:00:00,30.3,0.0,22.7,13.0,1003.5,19.248809523809523,0.004166666666666667,11.181547619047619,41.964285714285715,1009.7238095238096
2021-05-20 16:00:00,28.9,0.0,15.5,15.0,1003.7,19.261904761904763,0.004166666666666667,11.207142857142857,41.95238095238095,1009.7130952380952
2021-05-20 17:00:00,25.4,0.0,9.7,18.0,1003.9,19.28154761904762,0.004166666666666667,11.21547619047619,41.92261904761905,1009.6999999999998
2021-05-20 18:00:00,24.7,0.0,13.7,20.0,1004.6,19.307738095238097,0.004166666666666667,11.24345238095238,41.86309523809524,1009.6845238095239
2021-05-20 19:00:00,23.2,0.0,12.2,24.0,1005.7,19.326785714285716,0.004166666666666667,11.255952380952381,41.82738095238095,1009.672619047619
2021-05-20 20:00:00,18.6,0.0,7.2,44.0,1007.3,19.316666666666666,0.004166666666666667,11.219642857142858,41.92857142857143,1009.6660714285714
2021-05-20 21:00:00,16.8,0.0,5.0,51.0,1008.0,19.304761904761907,0.004166666666666667,11.180952380952382,42.041666666666664,1009.6583333333334
2021-05-20 22:00:00,15.3,0.0,5.4,63.0,1008.7,19.294642857142858,0.004166666666666667,11.157142857142858,42.19047619047619,1009.6505952380953
2021-05-20 23:00:00,14.0,0.0,5.4,70.0,1008.8,19.284523809523808,0.004166666666666667,11.139880952380953,42.345238095238095,1009.639880952381
2021-05-21 00:00:00,14.1,0.0,3.2,70.0,1009.0,19.280357142857145,0.004166666666666667,11.107738095238094,42.470238095238095,1009.6279761904761
2021-05-21 01:00:00,14.1,0.0,2.5,69.0,1008.8,19.28333333333333,0.004166666666666667,11.069047619047618,42.61309523809524,1009.6136904761905
2021-05-21 02:00:00,14.7,0.0,1.8,65.0,1008.5,19.290476190476188,0.004166666666666667,11.026190476190475,42.74404761904762,1009.5964285714286
2021-05-21 03:00:00,13.7,0.0,2.2,70.0,1008.4,19.28452380952381,0.004166666666666667,10.989880952380952,42.92261904761905,1009.5767857142857
2021-05-21 04:00:00,15.3,0.0,2.9,65.0,1008.5,19.276190476190475,0.004166666666666667,10.977380952380953,43.05952380952381,1009.554761904762
2021-05-21 05:00:00,17.8,0.0,1.4,55.0,1008.3,19.267857142857142,0.004166666666666667,10.945238095238095,43.20238095238095,1009.5297619047619
2021-05-21 06:00:00,20.3,0.0,0.4,48.0,1007.6,19.2625,0.004166666666666667,10.896428571428572,43.31547619047619,1009.5
2021-05-21 07:00:00,22.8,0.0,4.0,39.0,1006.4,19.260714285714286,0.004166666666666667,10.85357142857143,43.398809523809526,1009.4642857142857
2021-05-21 08:00:00,25.2,0.0,11.9,31.0,1005.5,19.264285714285712,0.004166666666666667,10.855952380952381,43.45238095238095,1009.4244047619047
2021-05-21 09:00:00,26.7,0.0,16.9,26.0,1004.5,19.26607142857143,0.004166666666666667,10.870833333333334,43.5,1009.3833333333333
2021-05-21 10:00:00,28.0,0.0,20.2,22.0,1003.5,19.26904761904762,0.004166666666666667,10.89702380952381,43.529761904761905,1009.3410714285714
2021-05-21 11:00:00,28.9,0.0,22.3,17.0,1002.6,19.271428571428572,0.004166666666666667,10.922619047619047,43.541666666666664,1009.2988095238096
2021-05-21 12:00:00,30.2,0.0,25.2,13.0,1001.2,19.27916666666667,0.004166666666666667,10.952380952380953,43.529761904761905,1009.2517857142858
2021-05-21 13:00:00,29.4,0.0,24.8,15.0,1000.4,19.28035714285714,0.004166666666666667,10.988690476190476,43.535714285714285,1009.2035714285715
2021-05-21 14:00:00,27.6,0.0,24.5,17.0,1001.4,19.270833333333332,0.004166666666666667,11.025,43.55952380952381,1009.1660714285714
2021-05-21 15:00:00,22.4,0.0,32.8,31.0,1004.0,19.235714285714284,0.004166666666666667,11.113095238095237,43.660714285714285,1009.145238095238
2021-05-21 16:00:00,20.2,0.0,28.1,41.0,1006.2,19.198809523809523,0.004166666666666667,11.229166666666666,43.79761904761905,1009.1369047619048
2021-05-21 17:00:00,18.3,0.0,19.8,48.0,1007.9,19.178571428571427,0.004166666666666667,11.286904761904761,43.93452380952381,1009.1345238095239
2021-05-21 18:00:00,16.7,0.0,16.2,61.0,1008.9,19.146428571428572,0.004166666666666667,11.3125,44.160714285714285,1009.1291666666667
2021-05-21 19:00:00,15.9,0.0,13.7,67.0,1009.7,19.132142857142856,0.004166666666666667,11.327380952380953,44.25,1009.1148809523811
